Met_id	Met_name	Met_compartment	Met_charge	Met_formula
Liver_MAM00748x	Liver_3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA	x	-4.0	C48H74N7O21P3S
Liver_MAM02971c	Liver_tetracosanoyl-CoA	c	-4.0	C45H78N7O17P3S
Liver_MAM00180c	Liver_(S)-dihydroorotate	c	-1.0	C5H5N2O4
Liver_MAM02102c	Liver_heptadecenoylcarnitine(7)	c	0.0	C24H45NO4
Liver_MAM00796c	Liver_3-hydroxypentanoyl-[ACP]	c	-1.0	C16H29N2O9PRS
Liver_MAM00100c	Liver_(5Z,8Z,11Z)-eicosatrienoylcarnitine	c	0.0	C27H47NO4
Liver_MAM00879c	Liver_3-oxo-hexacosenoyl-CoA	c	-4.0	C47H78N7O18P3S
Liver_MAM00680c	Liver_2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA	c	-4.0	C45H66N7O17P3S
Liver_MAM01696e	Liver_dihomo-gamma-linolenate	e	-1.0	C20H33O2
Liver_MAM03016c	Liver_trans,cis-2,17-hexacosadienoyl-CoA	c	-4.0	C47H78N7O17P3S
Liver_MAM01755c	Liver_dUMP	c	-2.0	C9H11N2O8P
Liver_MAM02997c	Liver_thymine	c	0.0	C5H6N2O2
Liver_MAM00023m	Liver_(13Z,16Z)-docosadienoyl-CoA	m	-4.0	C43H70N7O17P3S
Liver_MAM00117c	Liver_(7Z)-tetradecenoic acid	c	-1.0	C14H25O2
Liver_MAM00019c	Liver_(13Z)-octadecenoic acid	c	-1.0	C18H33O2
Liver_MAM01207e	Liver_8,11-eicosadienoic acid	e	-1.0	C20H35O2
Liver_MAM00247c	Liver_1,3-bisphospho-D-glycerate	c	-4.0	C3H4O10P2
Liver_MAM02345c	Liver_lauroyl-CoA	c	-4.0	C33H54N7O17P3S
Liver_MAM01357c	Liver_apoC-lys_btn	c	0.0	C16H27N4O3SX
Liver_MAM02053e	Liver_heneicosanoic acid	e	-1.0	C21H41O2
Liver_MAM02184c	Liver_isoleucine	c	0.0	C6H13NO2
Liver_MAM01334c	Liver_AMP	c	-2.0	C10H12N5O7P
Liver_MAM02389e	Liver_linolenate	e	-1.0	C18H29O2
Liver_MAM01963c	Liver_glucosamine-6-phosphate	c	-1.0	C6H13NO8P
