IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
SLC46A1-related Proton-coupled folate transporter deficiency 	ENSG00000076351	113235.1	MAM02574	MAM02574	m02574	forglu	increase
SLC46A1-related Proton-coupled folate transporter deficiency 	ENSG00000076351	113235.1	MAM01115	MAM01115	m01115	5mthf	decrease
CYC1-related Mitochondrial cytochrome c1 deficiency 	ENSG00000179091	1537.1	MAM02579	MAM02579	m02579	nh4	increase
PNPO-related Pyridox(am)ine 5-phosphate oxidase deficiency 	ENSG00000108439	55163.1	MAM02814	MAM02814	m02814	pydx5p	decrease
HPGD-related 15-Hydroxy-prostaglandin dehydrogenase deficiency 	ENSG00000164120	3248.1	MAM02786	MAM02786	m02786	prostge2	increase
SLCO2A1-related Prostaglandin transporter deficiency 	ENSG00000174640	6578.1	MAM02786	MAM02786	m02786	prostge2	increase
MOCS1-related Molybdenum cofactor deficiency A 	ENSG00000124615	4337.1	MAM03933	MAM03933	slfcys	slfcys	increase
MOCS2-related Molybdopterin synthase deficiency 	ENSG00000164172	4338.1	MAM03933	MAM03933	slfcys	slfcys	increase
GPHN-related Molybdenum cofactor deficiency C 	ENSG00000171723	10243.1	MAM03933	MAM03933	slfcys	slfcys	increase
SLC36A2-related Hyperglycinuria 	ENSG00000186335	153201.1	MAM01986	MAM01986	m01986	gly	increase
CBLIF-related Intrinsic factor deficiency 	ENSG00000134812	2694.1	MAM02133	MAM02133	m02133	hcys_L	increase
ACY1-related Aminoacylase 1 deficiency 	ENSG00000243989	95.1	MAM02536	MAM02536	m02536	acglu	increase
PYCR2-related Pyrroline-5-carboxylate reductase 2 deficiency 	ENSG00000143811	29920.1	MAM02770	MAM02770	m02770	pro_L	decrease
CUBN-related Cubilin deficiency 	ENSG00000107611	8029.1	MAM02133	MAM02133	m02133	hcys_L	increase
ASNS-related Asparagine synthetase deficiency 	ENSG00000070669	"440.1, 440.3, 440.2"	MAM01369	MAM01369	m01369	asn_L	decrease
SLC6A9-related Glycine transporter 1 deficiency 	ENSG00000196517	"6536.1, 6536.2"	MAM01986	MAM01986	m01986	gly	increase
LIAS-related Lipoic acid synthase deficiency 	ENSG00000121897	11019.1	MAM01986	MAM01986	m01986	gly	increase
LIPT1-related Lipoyltransferase 1 deficiency 	ENSG00000144182	51601.1	MAM01974	MAM01974	m01974	glu_L	increase
SLC52A1-related Riboflavin transporter 1 deficiency 	ENSG00000132517	55065.1	MAM01965	MAM01965	m01965	glc_D	decrease
NNT-related Nicotinamide nucleotide transhydrogenase deficiency 	ENSG00000112992	"23530.2, 23530.1"	MAM01965	MAM01965	m01965	glc_D	decrease
NNT-related Nicotinamide nucleotide transhydrogenase deficiency 	ENSG00000112992	"23530.2, 23530.1"	MAM01309	MAM01309	m01309	aldstrn	decrease
G6PD-related Glucose-6-phosphate dehydrogenase deficiency 	ENSG00000160211	2539.1	MAM01396	MAM01396	m01396	bilirub	increase
SLC22A5-related Primary carnitine deficiency 	ENSG00000197375	6584.1	MAM02348	MAM02348	m02348	crn	decrease
SLC22A5-related Primary carnitine deficiency 	ENSG00000197375	6584.1	MAM02348	MAM02348	m02348	crn	increase
PCK1-related Cytosolic phosphoenolpyruvate carboxykinase deficiency 	ENSG00000124253	5105.1	MAM02579	MAM02579	m02579	nh4	increase
PCK1-related Cytosolic phosphoenolpyruvate carboxykinase deficiency 	ENSG00000124253	5105.1	MAM01965	MAM01965	m01965	glc_D	decrease
HK1-related Hemolytic anemia due to hexokinase 1 deficiency 	ENSG00000156515	"3098.3, 3098.2, 3098.1, 3098.4, 3098.5"	MAM01396	MAM01396	m01396	bilirub	increase
GPI-related Glucose-6-phosphate isomerase deficiency 	ENSG00000105220	2821.1	MAM01279	MAM01279	m01279	ade	increase
GPI-related Glucose-6-phosphate isomerase deficiency 	ENSG00000105220	2821.1	MAM03135	MAM03135	m03135	val_L	increase
MPC1-related Mitochondrial pyruvate carrier deficiency 	ENSG00000060762	51660.1	MAM01965	MAM01965	m01965	glc_D	decrease
MPC1-related Mitochondrial pyruvate carrier deficiency 	ENSG00000060762	51660.1	MAM02819	MAM02819	m02819	pyr	increase
BTD-related Biotinidase deficiency 	ENSG00000169814	686.1	MAM00665	MAM00665	m00665	2mcit	increase
"SDHD-related Succinate dehydrogenase subunit D deficiency, tumoral phenotype "	ENSG00000204370	6392.1	MAM02617	MAM02617	m02617	nrpphr	increase
"SDHD-related Succinate dehydrogenase subunit D deficiency, tumoral phenotype "	ENSG00000204370	6392.1	MAM02622	MAM02622	m02622	normete_L	increase
HLCS-related Holocarboxylase synthetase deficiency 	ENSG00000159267	3141.1	MAM00665	MAM00665	m00665	2mcit	increase
SLC19A2-related Thiamine transporter 1 deficiency 	ENSG00000117479	10560.1	MAM01965	MAM01965	m01965	glc_D	increase
TH-related Tyrosine hydroxylase deficiency 	ENSG00000180176	"7054.1, 7054.3, 7054.2"	MAM02137	MAM02137	m02137	homoval	decrease
TH-related Tyrosine hydroxylase deficiency 	ENSG00000180176	"7054.1, 7054.3, 7054.2"	MAM02617	MAM02617	m02617	nrpphr	decrease
PAH-related Phenylketonuria 	ENSG00000171759	5053.1	MAM02724	MAM02724	m02724	phe_L	increase
PAH-related Phenylketonuria 	ENSG00000171759	5053.1	MAM02725	MAM02725	m02725	phpyr	increase
AGK-related Acylglycerol kinase deficiency 	ENSG00000006530	55750.1	MAM01716	MAM01716	m01716	lac_D	increase
PNPLA8-related Mitochondrial myopathy with lactic acidosis 	ENSG00000135241	50640.1	MAM01716	MAM01716	m01716	lac_D	increase
PNPLA8-related Mitochondrial myopathy with lactic acidosis 	ENSG00000135241	50640.1	MAM02819	MAM02819	m02819	pyr	increase
SLC6A3-related Dopamine transporter deficiency 	ENSG00000142319	6531.1	MAM01103	MAM01103	m01103	5hoxindoa	decrease
SLC6A3-related Dopamine transporter deficiency 	ENSG00000142319	6531.1	MAM04072	MAM04072	vanillac	vanillac	decrease
GAMT-related Guanidinoacetate methyltransferase deficiency 	ENSG00000130005	"2593.1, 2593.2"	MAM02036	MAM02036	m02036	gudac	increase
MECR-related Mitochondrial enoyl-CoA reductase deficiency 	ENSG00000116353	51102.1	MAM01716	MAM01716	m01716	lac_D	increase
GATM-related Arginine:glycine amidinotransferase deficiency 	ENSG00000171766	2628.1	MAM02036	MAM02036	m02036	gudac	decrease
GATM-related Arginine:glycine amidinotransferase deficiency 	ENSG00000171766	2628.1	MAM01621	MAM01621	m01621	crtn	decrease
SLC6A8-related Creatine transporter deficiency 	ENSG00000130821	6535.1	MAM01619	MAM01619	m01619	creat	increase
SYNJ1-related Synaptojanin 1 deficiency 	ENSG00000159082	"8867.2, 8867.1"	MAM01716	MAM01716	m01716	lac_D	increase
CPS1-related Carbamoyl phosphate synthetase I deficiency 	ENSG00000021826	"1373.1, 1373.2"	MAM01975	MAM01975	m01975	gln_L	increase
SLC7A2-related Cationic amino acid transporter 2 deficiency 	ENSG00000003989	6542.1	MAM01365	MAM01365	m01365	arg_L	increase
SLC7A2-related Cationic amino acid transporter 2 deficiency 	ENSG00000003989	6542.1	MAM02426	MAM02426	m02426	lys_L	increase
SLC7A2-related Cationic amino acid transporter 2 deficiency 	ENSG00000003989	6542.1	MAM02036	MAM02036	m02036	gudac	increase
KMO-related Kynurenine-3-hydroxylase deficiency 	ENSG00000117009	8564.1	MAM02319	MAM02319	m02319	Lkynr	increase
