Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	139	Methionine conversion to S-Adenosylmethionine		methionine[c]	1.0		Pi[c];PPi[c]										
				ATP[c];H2O[e]			SAM[c]										
	140	S-Adenosylhomocysteine hydrolosis		SAH[c]	1.0		Homocysteine[c]										
				H2O[c]			adenosine[c]										
	141	homocysteine methylation to methionine		Homocysteine[c]	1.0		methionine[e]										
				5-methyl-THF[e]			THF[e];H+[c]										
	142	homocysteine methylation to methionine		homocysteine[c]	1.0		dimethylglycine[c]										
				betaine[c]			methionine[c]										
	143	homocysteine transsulfuration to cystathionine		homocysteine[c]	1.0		L-cystathionine[c]										
				serine[e]			H2O[e]										
	144	cystathione degredation		L-cystathionine[c]	1.0		2-oxobutyrate[c];H+[c]										
				H2O[e]			cysteine[e];NH3[e]										
	145	Methylenetetrahydrofolate reduction 		5,10-methylene-THF[c]			5-methyl-THF[c]										
				NADPH[c]			NADP+[c]										
				H+[c]													
	146	Glycine-N-methyltransferase		SAM[c]			SAH[c];H+[c]										
				glycine[e]	1.0		sarcosine[e]										
	147	serine hydroxymethyltransferase (reverse)		THF[e]			Glycine[e];H2O[e]										
				serine[e]	1.0		5,10-methylene-THF[c]	1.0									
	148	alpha-ketoglutarate oxidation (alpha-ketoglutarate dehydrogenase)		AKG[m]			succinyl-CoA[m]										
				CoA[m]			CO2[m]										
				NAD+[m]			NADH[m]										
							H+[m]										
	149	Bicarbonate reabsorption		HCO3-[c];H+[c]	1.0		carbonate[c]										
	150	Bicarbonate reabsorption		carbonate[c]	1.0		CO2[e];H2O[e]										
	151	Fructose 1,6-biphosphatase		fructose-1,6-bisphosphate[c]	1.0		fructose-6-phosphate[c]										
				H2O[e]			Pi[e]										
	152	Calcium reabosrption		Ca2+[c]	2.0		Ca2+[e]	2.0									
				ATP[c]			ADP[c]										
				H2O[c]			Pi[c]										
	153	Potassium reabsorption		K+[e]	1.0		K+[c]										
				ATP[c];H2O[c];Na+[c]			ADP[c];Pi[c];Na+[e]										
	154	Tryptophan to Serotonin		tryptophan[c]			serotonin[c]										
				tetrahydrobiopterin[c]			CO2[c]										
				O2[c]													
	155	Serotonin degradation 		serotonin[c]			5-hydroxyindoleacetate[c]										
				H2O[c]			H2O2[c]										
				O2[c]													
